name,lat,long
Baksar,26.136177,80.665003
Ballia,25.733029,84.156921
Bhitoura,26.041566,80.85941
Bithoor,26.596125,80.276786
Brijghat,28.756005,78.146372
Chaudanpur 1,26.375906,80.492721
Chunar,25.138468,82.885891
Dhanghat,26.487457,82.98435
Dohrighat 1,26.26792,83.502197
Dohrighat 2,26.279248,83.515837
Fatehpur Ganga,26.053117,80.909923
Gahmar,25.506492,83.807777
Gaurajainnagar,26.284234,83.698311
Gaurapurwar,25.45947,83.127877
Ghazipur,25.585886,83.6019
Gola Bazaar,26.337738,83.355235
Karenti Ghat,25.672001,81.425158
Lucknow,26.85694,80.968294
Mathura 1,27.499008,77.690578
Mathura 2,27.498213,77.694151
Mau,26.279082,83.515985
Mubarakpur,26.544806,82.704762
Noida,28.53019,77.433717
Patna,25.622964,85.133657
Pipra Brijlal,26.69297,82.517837
Prayagraj,25.439191,81.883425
Saidpur,25.537482,83.198492
Saraiya Kamarghatta,25.111713,82.816033
SringverpurDham,25.586711,81.636577
"Tilak Vihar Crematorium, Delhi",28.645962,77.088951
Unchahar 1,25.931264,81.217612
Unchahar 2,25.92782,81.217205
Varanasi 2,25.330056,83.046946
Varanasi 3,25.320242,83.035675
Varanasi 4,25.298431,83.007472
Varanasi,25.310662,83.014407
Vrindavan 1,27.58968,77.704083
Vrindavan 2,27.581856,77.689395
Vrindavan 3,27.587165,77.704221
